season,event,match_id,match_round,red1,red2,blue1,blue2,red_score,blue_score
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677133,2,31260X,1002S,1002X,52050A,49,90
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677134,2,3477A,3477D,12141A,97230C,17,5
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677136,2,97230A,1002F,31260V,31260Z,10,34
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677137,2,1002V,97230F,87959A,1002B,32,5
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677138,2,31260Y,3477B,3477C,31260X,5,42
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677140,2,3477A,3477B,97230D,1002F,16,23
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677141,2,12141A,1002X,52050A,1002B,3,84
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677142,2,52050C,87959A,31260Y,3477D,16,15
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677143,2,97230C,31260Z,1002S,97230F,17,19
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677145,2,52050C,1002F,1002V,97230C,31,5
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677146,2,1002X,3477D,31260Z,97230D,0,68
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677147,2,87959A,1002S,3477A,97230A,10,0
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677148,2,12141A,97230F,31260X,31260V,11,48
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677149,2,1002B,3477C,97230A,3477D,19,17
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677151,2,1002F,31260Y,87959A,1002X,13,13
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677152,2,1002V,3477C,1002S,3477B,5,22
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677153,2,1002B,97230C,31260X,97230D,8,73
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677154,2,31260Z,52050A,52050C,31260V,57,24
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677155,2,97230A,97230F,97230C,1002X,14,5
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677157,2,1002V,3477D,52050A,3477A,28,48
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677158,2,52050C,1002S,1002F,12141A,11,5
VEX V5 Robotics Competition 2025-2026: Push Back,Melbourne | Blended Tournament | Templestowe College: VEX @ TC,116677159,2,97230D,31260V,1002B,3477B,45,5
