rank,team,teamName,organization,city,region,country,gradeLevel,eventSku,eventDate,combined,programming,driver,maxProgramming,maxDriver,eligible
1,88825H,ROACH,Shanghai Koller Foreign Language School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,182,91,91,91,91,false
2,45000A,HeFei X-Free A,Hefei No.45 middle school,Hefei,Anhui,China,Middle School,RE-V5RC-25-3592,2025-11-21,180,88,92,88,92,false
3,55555A,HeFei USTC A,X.USTC,Anhui,Anhui,China,Middle School,RE-V5RC-25-3592,2025-11-21,178,84,94,84,94,false
4,90696C,Rice Brothers,Private,Fremont,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,177,86,91,86,91,false
5,1698A,Limited Edition,1698,Los Altos,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,166,84,82,84,82,false
6,1840A,Eclipse,Timberline Middle School,Redmond,Washington,United States,Middle School,RE-V5RC-25-0205,2025-11-21,161,68,93,68,93,false
7,81988W,81988w,虹口机器人社Hongkou Robotics Club,上海Shanghai,Shanghai,China,Middle School,RE-V5RC-25-3592,2025-11-21,153,75,78,75,78,false
8,44A,Last Dance,上海市世界外国语中学,上海,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,149,63,86,63,86,false
9,2731P,Rainstorm VEX Team,"Qing'shao'niang, Shangcheng District, Hangzhou",Hangzhou City,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,148,68,80,69,80,false
10,1806S,Apricity,InoBotics,Mountain View,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,148,69,79,69,80,false
11,2499V,Vortex,Irvine Robotics,Irvine,California,United States,Middle School,RE-V5RC-25-1386,2025-10-11,147,72,75,72,75,false
12,55555C,X-Swordman,HF MS No.50,hefei,Anhui,China,Middle School,RE-V5RC-25-3592,2025-11-21,145,78,67,78,67,false
13,54008A,TIEYI MS-A,XIAN TIEYI MS,Xian,Shaanxi,China,Middle School,RE-V5RC-25-3771,2025-11-14,144,67,77,67,77,false
14,54009A,XIAN FULUN MS,XIAN FULUN MS,Xian,Shaanxi,China,Middle School,RE-V5RC-25-3497,2025-11-07,144,61,83,61,83,false
15,8838D,Robohawks - Amirite,ORCHARD HILLS,Irvine,California,United States,Middle School,RE-V5RC-25-1249,2025-11-16,143,67,76,67,76,false
16,1590A,Blue Army,Innovagine Robotics,Rancho Cucamonga,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,143,63,80,63,80,false
